Grid ID,Year,Status,Message,Duration (s)
496,2024,Success,Downloaded: sentinel2_grid_496_2024_08.tiff,26.1
497,2024,Success,Downloaded: sentinel2_grid_497_2024_08.tiff,27.6
498,2024,Success,Downloaded: sentinel2_grid_498_2024_08.tiff,20.3
499,2024,Success,Downloaded: sentinel2_grid_499_2024_08.tiff,15.9
500,2024,Success,Downloaded: sentinel2_grid_500_2024_08.tiff,16.1
532,2024,Success,Downloaded: sentinel2_grid_532_2024_08.tiff,28.9
533,2024,Success,Downloaded: sentinel2_grid_533_2024_08.tiff,17.8
534,2024,Success,Downloaded: sentinel2_grid_534_2024_08.tiff,18.4
535,2024,Success,Downloaded: sentinel2_grid_535_2024_08.tiff,15.9
536,2024,Success,Downloaded: sentinel2_grid_536_2024_08.tiff,16.1
